sampleid	name	group
saliva01	Oral01	vsearch
saliva02	Oral02	vsearch
saliva03	Oral03	vsearch
saliva04	Oral04	vsearch
saliva05	Oral05	vsearch
saliva06	Oral06	vsearch
saliva07	Oral07	vsearch
saliva08	Oral08	vsearch
saliva09	Oral09	vsearch
saliva10	Oral10	vsearch
saliva11	Oral11	vsearch
saliva12	Oral12	vsearch
saliva13	Oral13	vsearch
saliva14	Oral14	vsearch
saliva15	Oral15	vsearch
saliva16	Oral16	vsearch
saliva17	Oral17	vsearch
saliva18	Oral18	vsearch
saliva19	Oral19	vsearch
saliva20	Oral20	vsearch
